0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:28 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:28 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:29 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:29 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:04 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:04 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 693
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:05 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:21 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:21 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:21 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:21 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:21 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:32:21 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:17 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:17 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:33:18 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1884
